Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
74	16:18:35	16:18:35	16:18:35	16:18:35	16:18:35	16:18:35			16:18:35	16:18:35	16:18:35	16:18:35	16:18:39	16:18:39	16:18:39	16:18:39	16:18:39	16:18:39			16:18:39	16:18:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
75	16:18:39	16:18:39	16:18:39	16:18:39	16:18:39	16:18:39			16:18:39	16:18:39	16:18:39	16:18:39	16:18:43	16:18:43	16:18:43	16:18:43	16:18:43	16:18:43			16:18:44	16:18:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
76	16:18:44	16:18:44	16:18:44	16:18:44	16:18:44	16:18:44			16:18:44	16:18:44	16:18:44	16:18:44	16:18:49	16:18:49	16:18:49	16:18:49	16:18:49	16:18:49			16:18:49	16:18:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
77	16:18:49	16:18:49	16:18:49	16:18:49	16:18:49	16:18:49			16:18:49	16:18:49	16:18:49	16:18:49	16:18:54	16:18:54	16:18:54	16:18:54	16:18:54	16:18:54			16:18:54	16:18:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
78	16:18:54	16:18:54	16:18:54	16:18:54	16:18:54	16:18:54			16:18:54	16:18:54	16:18:54	16:18:54	16:18:58	16:18:58	16:18:58	16:18:58	16:18:58	16:18:58			16:18:59	16:18:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
79	16:18:59	16:18:59	16:18:59	16:18:59	16:18:59	16:18:59			16:18:59	16:18:59	16:18:59	16:18:59	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03			16:19:03	16:19:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
80	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:03	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08	16:19:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
81	16:19:09	16:19:09	16:19:09	16:19:09	16:19:09	16:19:09			16:19:09	16:19:09	16:19:09	16:19:09	16:19:13	16:19:13	16:19:13	16:19:13	16:19:13	16:19:13			16:19:13	16:19:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
82	16:19:13	16:19:13	16:19:13	16:19:13	16:19:13	16:19:13			16:19:13	16:19:13	16:19:13	16:19:13	16:19:18	16:19:18	16:19:18	16:19:18	16:19:18	16:19:18			16:19:18	16:19:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
83	16:19:18	16:19:18	16:19:18	16:19:18	16:19:18	16:19:18			16:19:18	16:19:18	16:19:18	16:19:18	16:19:23	16:19:23	16:19:23	16:19:23	16:19:23	16:19:23			16:19:23	16:19:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
84	16:19:23	16:19:23	16:19:23	16:19:23	16:19:23	16:19:23			16:19:23	16:19:23	16:19:23	16:19:23	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28			16:19:28	16:19:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
85	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28			16:19:28	16:19:28	16:19:28	16:19:28	16:19:33	16:19:33	16:19:33	16:19:33	16:19:33	16:19:33			16:19:33	16:19:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
86	16:19:33	16:19:33	16:19:33	16:19:33	16:19:33	16:19:33			16:19:33	16:19:33	16:19:33	16:19:33	16:19:38	16:19:38	16:19:38	16:19:38	16:19:38	16:19:38			16:19:39	16:19:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:05
87	16:19:39	16:19:39	16:19:39	16:19:39	16:19:39	16:19:39			16:19:39	16:19:39	16:19:39	16:19:39	16:19:43	16:19:43	16:19:43	16:19:43	16:19:43	16:19:43			16:19:43	16:19:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
88	16:19:43	16:19:43	16:19:43	16:19:43	16:19:43	16:19:43			16:19:43	16:19:43	16:19:43	16:19:43	16:19:47	16:19:47	16:19:47	16:19:47	16:19:47	16:19:47			16:19:48	16:19:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
89	16:19:48	16:19:48	16:19:48	16:19:48	16:19:48	16:19:48			16:19:48	16:19:48	16:19:48	16:19:48	16:19:52	16:19:52	16:19:52	16:19:52	16:19:52	16:19:52			16:19:53	16:19:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
90	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:53	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
91	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57	16:19:57			16:19:57	16:19:57	16:19:57	16:19:57	16:20:01	16:20:01	16:20:01	16:20:01	16:20:01	16:20:01			16:20:02	16:20:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
92	16:20:02	16:20:02	16:20:02	16:20:02	16:20:02	16:20:02			16:20:02	16:20:02	16:20:02	16:20:02	16:20:06	16:20:06	16:20:06	16:20:06	16:20:06	16:20:06			16:20:06	16:20:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
93	16:20:06	16:20:06	16:20:06	16:20:06	16:20:06	16:20:06			16:20:06	16:20:06	16:20:06	16:20:06	16:20:10	16:20:10	16:20:10	16:20:10	16:20:10	16:20:10			16:20:10	16:20:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
94	16:20:10	16:20:10	16:20:10	16:20:10	16:20:10	16:20:10			16:20:10	16:20:10	16:20:10	16:20:10	16:20:14	16:20:14	16:20:14	16:20:14	16:20:14	16:20:14			16:20:15	16:20:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
95	16:20:15	16:20:15	16:20:15	16:20:15	16:20:15	16:20:15			16:20:15	16:20:15	16:20:15	16:20:15	16:20:19	16:20:19	16:20:19	16:20:19	16:20:19	16:20:19			16:20:19	16:20:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
96	16:20:19	16:20:19	16:20:19	16:20:19	16:20:19	16:20:19			16:20:19	16:20:19	16:20:19	16:20:19	16:20:23	16:20:23	16:20:23	16:20:23	16:20:23	16:20:23			16:20:24	16:20:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
97	16:20:24	16:20:24	16:20:24	16:20:24	16:20:24	16:20:24			16:20:24	16:20:24	16:20:24	16:20:24	16:20:28	16:20:28	16:20:28	16:20:28	16:20:28	16:20:28			16:20:28	16:20:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
98	16:20:28	16:20:28	16:20:28	16:20:28	16:20:28	16:20:28			16:20:28	16:20:28	16:20:28	16:20:28	16:20:32	16:20:32	16:20:32	16:20:32	16:20:32	16:20:32			16:20:33	16:20:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
99	16:20:33	16:20:33	16:20:33	16:20:33	16:20:33	16:20:33			16:20:33	16:20:33	16:20:33	16:20:33	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37			16:20:37	16:20:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
100	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:37	16:20:41	16:20:41	16:20:41	16:20:41	16:20:41	16:20:41	16:20:41	16:20:41	16:20:42	16:20:42		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
