Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16			16:14:16	16:14:16	16:14:16	16:14:16	16:14:20	16:14:20	16:14:20	16:14:20	16:14:20	16:14:20			16:14:21	16:14:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
18	16:14:21	16:14:21	16:14:21	16:14:21	16:14:21	16:14:21			16:14:21	16:14:21	16:14:21	16:14:21	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25			16:14:25	16:14:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
19	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25			16:14:25	16:14:25	16:14:25	16:14:25	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29			16:14:29	16:14:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
20	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:33	16:14:33	16:14:33	16:14:33	16:14:33	16:14:33	16:14:33	16:14:33	16:14:34	16:14:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
21	16:14:34	16:14:34	16:14:34	16:14:34	16:14:34	16:14:34			16:14:34	16:14:34	16:14:34	16:14:34	16:14:38	16:14:38	16:14:38	16:14:38	16:14:38	16:14:38			16:14:38	16:14:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
22	16:14:38	16:14:38	16:14:38	16:14:38	16:14:38	16:14:38			16:14:39	16:14:39	16:14:39	16:14:39	16:14:42	16:14:42	16:14:42	16:14:42	16:14:42	16:14:42			16:14:43	16:14:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
23	16:14:43	16:14:43	16:14:43	16:14:43	16:14:43	16:14:43			16:14:43	16:14:43	16:14:43	16:14:43	16:14:47	16:14:47	16:14:47	16:14:47	16:14:47	16:14:47			16:14:47	16:14:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
24	16:14:47	16:14:47	16:14:47	16:14:47	16:14:47	16:14:47			16:14:47	16:14:47	16:14:47	16:14:47	16:14:52	16:14:52	16:14:52	16:14:52	16:14:52	16:14:52			16:14:52	16:14:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
25	16:14:52	16:14:52	16:14:52	16:14:52	16:14:52	16:14:52			16:14:52	16:14:52	16:14:52	16:14:52	16:14:56	16:14:56	16:14:56	16:14:56	16:14:56	16:14:56			16:14:57	16:14:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
26	16:14:57	16:14:57	16:14:57	16:14:57	16:14:57	16:14:57			16:14:57	16:14:57	16:14:57	16:14:57	16:15:01	16:15:01	16:15:01	16:15:01	16:15:01	16:15:01			16:15:01	16:15:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
27	16:15:01	16:15:01	16:15:01	16:15:01	16:15:01	16:15:01			16:15:01	16:15:01	16:15:01	16:15:01	16:15:05	16:15:05	16:15:05	16:15:05	16:15:05	16:15:05			16:15:06	16:15:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
28	16:15:06	16:15:06	16:15:06	16:15:06	16:15:06	16:15:06			16:15:06	16:15:06	16:15:06	16:15:06	16:15:10	16:15:10	16:15:10	16:15:10	16:15:10	16:15:10			16:15:10	16:15:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
29	16:15:11	16:15:11	16:15:11	16:15:11	16:15:11	16:15:11			16:15:11	16:15:11	16:15:11	16:15:11	16:15:14	16:15:14	16:15:14	16:15:14	16:15:14	16:15:14			16:15:15	16:15:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
