VehicleId	VehicleType	CarrierId	DriverID	serviceTime	roadTime	travelDistance	vehicleCost	legCount
freight_real_SBWARENHAUS_TROCKEN_veh_heavy40t_63891_0	org.matsim.vehicles.VehicleType@12d1f1d4	-1	freight_real_SBWARENHAUS_TROCKEN_veh_heavy40t_63891_0	66652.0	28991.0	127705.098622535	-73.94317195045085	5
freight_kaufland_SBWARENHAUS_FRISCHE_veh_heavy26t_49046_3	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_SBWARENHAUS_FRISCHE_veh_heavy26t_49046_3	47050.0	19165.0	227479.64277394555	58.50286065854315	7
freight_kaufland_SBWARENHAUS_FRISCHE_veh_heavy26t_49046_2	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_SBWARENHAUS_FRISCHE_veh_heavy26t_49046_2	72798.0	32963.0	387262.90303191677	97.9474450313842	9
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_0	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_0	40262.0	15800.0	93005.58081971016	-15.106260850794225	11
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_6	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_6	60622.0	25915.0	111489.373131788	-52.28562000170211	11
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_3	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_3	51920.0	21628.0	137244.06546561682	-14.023676138036818	13
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_5	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_5	49800.0	21951.0	78674.68945214027	-54.847858067066	9
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_4	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_4	46104.0	18720.0	125072.89893077774	-7.929157716378882	13
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_8	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_8	73518.0	32544.0	134928.78842171183	-69.06331175745305	13
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_1	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_1	33416.0	12376.0	101860.1301272065	7.603887185228319	13
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_7	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_7	22674.0	7668.0	33401.74283751251	-15.194032298866624	5
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_2	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_2	51748.0	21542.0	201088.18462253577	29.17328369709908	15
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_2	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_2	72000.0	33952.0	113881.01143092317	-90.06452234128153	13
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_1	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_1	61570.0	26396.0	90953.2902972254	-68.40169550085895	11
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_112787_10	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_112787_10	48350.0	19731.0	60997.23504110853	-55.813752522457285	21
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_5	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_5	44874.0	18103.0	102420.1502146367	-20.083199356193482	17
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_3	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_3	26342.0	8958.0	54561.81404447234	-7.337784590203528	7
freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_6	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_netto_SUPERMARKT_FRISCHE_veh_heavy26t_35300_6	73310.0	32505.0	171850.92786705575	-44.13437832907249	15
freight_rewe_VERBRAUCHERMARKT_TROCKEN_veh_medium18t_160444_0	org.matsim.vehicles.VehicleType@7a389761	-1	freight_rewe_VERBRAUCHERMARKT_TROCKEN_veh_medium18t_160444_0	21942.0	8795.0	92232.01386094748	16.855309009615862	3
freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_9	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_edeka_DISCOUNTER_TROCKEN_veh_heavy26t_19384_9	30366.0	11331.0	78888.92513692786	-2.6663201582583462	7
