VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
defaultVehicleType  -36835.0   19000.0   -0.0   0.0
heavy  -29603.0   39000.0   -0.0   0.0
defaultVehicleType  -38635.0   19000.0   -0.0   0.0
heavy  -27443.0   23000.0   -0.0   0.0
defaultVehicleType  -38593.0   19000.0   -0.0   0.0
heavy  -28824.0   43000.0   -0.0   0.0
defaultVehicleType  -37555.0   19000.0   -0.0   0.0
heavy  -25584.0   31000.0   -0.0   0.0
defaultVehicleType  -38088.0   19000.0   -0.0   0.0
heavy  -27024.0   27000.0   -0.0   0.0
defaultVehicleType  -37008.0   19000.0   -0.0   0.0
heavy  -23801.0   27000.0   -0.0   0.0
heavy  -20637.0   27000.0   -0.0   0.0
heavy  -29277.0   35000.0   -0.0   0.0
heavy  -30910.0   39000.0   -0.0   0.0
heavy  -24195.0   23000.0   -0.0   0.0
defaultVehicleType  -36648.0   19000.0   -0.0   0.0
defaultVehicleType  -39969.0   23000.0   -0.0   0.0
defaultVehicleType  -39528.0   19000.0   -0.0   0.0
defaultVehicleType  -38808.0   19000.0   -0.0   0.0
defaultVehicleType  -37008.0   19000.0   -0.0   0.0
defaultVehicleType  -33733.0   19000.0   -0.0   0.0
defaultVehicleType  -37368.0   19000.0   -0.0   0.0
defaultVehicleType  -47461.0   23000.0   -0.0   0.0
defaultVehicleType  -47942.0   23000.0   -0.0   0.0
defaultVehicleType  -43229.0   23000.0   -0.0   0.0
heavy  -28765.0   23000.0   -0.0   0.0
heavy  -31587.0   47000.0   -0.0   0.0
heavy  -26849.0   23000.0   -0.0   0.0
heavy  -23576.0   31000.0   -0.0   0.0
heavy  -30507.0   39000.0   -0.0   0.0
defaultVehicleType  -43878.0   23000.0   -0.0   0.0
defaultVehicleType  -41700.0   23000.0   -0.0   0.0
defaultVehicleType  -42150.0   23000.0   -0.0   0.0
defaultVehicleType  -48794.0   23000.0   -0.0   0.0
defaultVehicleType  -45080.0   23000.0   -0.0   0.0
defaultVehicleType  -46634.0   23000.0   -0.0   0.0
