VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_26_veh_carrier_26_heavyVehicle_1	heavy	2	freight_26_veh_carrier_26_heavyVehicle_1	-26707.0	39000.0	-3896.590000000001
freight_6_veh_carrier_6_heavyVehicle_4	heavy	6	freight_6_veh_carrier_6_heavyVehicle_4	-18544.0	31000.0	-1757.7580000000005
freight_26_veh_carrier_26_heavyVehicle_0	heavy	2	freight_26_veh_carrier_26_heavyVehicle_0	-25920.0	23000.0	-2505.822
freight_13_veh_carrier_13_heavyVehicle_4	heavy	1	freight_13_veh_carrier_13_heavyVehicle_4	-18519.0	27000.0	-1415.234
freight_18_veh_carrier_18_heavyVehicle_1	heavy	1	freight_18_veh_carrier_18_heavyVehicle_1	-15296.0	27000.0	-1082.0659999999998
freight_13_veh_carrier_13_heavyVehicle_3	heavy	1	freight_13_veh_carrier_13_heavyVehicle_3	-17170.0	31000.0	-1239.1980000000003
freight_18_veh_carrier_18_heavyVehicle_2	heavy	1	freight_18_veh_carrier_18_heavyVehicle_2	-27678.0	31000.0	-2852.4700000000003
freight_6_veh_carrier_6_heavyVehicle_0	heavy	6	freight_6_veh_carrier_6_heavyVehicle_0	-27125.0	31000.0	-2944.9339999999997
freight_6_veh_carrier_6_heavyVehicle_1	heavy	6	freight_6_veh_carrier_6_heavyVehicle_1	-24579.0	31000.0	-2147.0380000000005
freight_18_veh_carrier_18_heavyVehicle_0	heavy	1	freight_18_veh_carrier_18_heavyVehicle_0	-19934.0	31000.0	-1585.2780000000007
freight_6_veh_carrier_6_heavyVehicle_2	heavy	6	freight_6_veh_carrier_6_heavyVehicle_2	-21700.0	27000.0	-1761.146
freight_29_veh_carrier_29_heavyVehicle_4	heavy	2	freight_29_veh_carrier_29_heavyVehicle_4	-26959.0	35000.0	-3609.178
freight_29_veh_carrier_29_heavyVehicle_3	heavy	2	freight_29_veh_carrier_29_heavyVehicle_3	-31059.0	35000.0	-4469.946000000001
freight_29_veh_carrier_29_heavyVehicle_2	heavy	2	freight_29_veh_carrier_29_heavyVehicle_2	-27175.0	27000.0	-2529.45
freight_29_veh_carrier_29_heavyVehicle_1	heavy	2	freight_29_veh_carrier_29_heavyVehicle_1	-26138.0	23000.0	-2068.5660000000003
freight_29_veh_carrier_29_heavyVehicle_0	heavy	2	freight_29_veh_carrier_29_heavyVehicle_0	-27635.0	31000.0	-3423.094
freight_22_veh_carrier_22_heavyVehicle_0	heavy	2	freight_22_veh_carrier_22_heavyVehicle_0	-24194.0	31000.0	-2880.414
